service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"T0","1","1","1","1","1","0","0","20191215","20201212"
"T0#1","1","0","0","0","0","0","0","20201205","20201208"
"T0#10","1","1","1","1","1","0","0","20191215","20201212"
"T0#11","1","1","1","1","1","0","0","20201102","20201212"
"T0#12","1","1","1","1","1","0","0","20200907","20201002"
"T0#13","1","1","1","1","1","0","0","20200529","20200913"
"T0#14","1","1","1","1","1","0","0","20191215","20201212"
"T0#15","1","1","1","1","1","0","0","20191215","20200317"
"T0#16","1","1","1","1","1","0","0","20200602","20201212"
"T0#17","1","1","1","1","1","0","0","20200609","20201212"
"T0#18","1","1","1","1","1","0","0","20200704","20201212"
"T0#19","1","1","1","1","1","0","0","20191215","20200703"
"T0#2","0","1","1","1","1","0","0","20201024","20201101"
"T0#20","1","1","1","1","1","0","0","20200804","20201031"
"T0#21","1","1","1","1","1","0","0","20201101","20201212"
"T0#22","1","1","1","1","1","0","0","20200704","20201212"
"T0#3","1","1","1","1","1","0","0","20201102","20201115"
"T0#4","0","1","1","1","1","0","0","20201023","20201101"
"T0#5","1","1","1","1","1","0","0","20200907","20201212"
"T0#6","1","1","1","1","1","0","0","20200529","20201024"
"T0#7","1","1","1","1","1","0","0","20201025","20201212"
"T0#8","1","1","1","1","1","0","0","20191215","20200930"
"T0#9","1","1","1","1","1","0","0","20201001","20201212"
"T0+31","1","1","1","1","0","0","0","20191215","20201212"
"T0+32","0","0","0","0","1","0","0","20191215","20201212"
"T0+eh003","1","1","1","1","1","0","0","20191215","20201212"
"T0+eh126","1","1","1","1","1","0","0","20191215","20201212"
"T0+mar29","1","1","1","1","1","0","0","20200704","20201212"
"T2","0","0","0","0","0","1","0","20191215","20201212"
"T2#1","0","0","0","0","0","1","0","20200907","20201212"
"T2#10","0","0","0","0","0","1","0","20191215","20201002"
"T2#11","0","0","0","0","0","1","0","20201003","20201212"
"T2#12","0","0","0","0","0","1","0","20191215","20201212"
"T2#13","0","0","0","0","0","1","0","20201024","20201115"
"T2#14","0","0","0","0","0","1","0","20200904","20201212"
"T2#15","0","0","0","0","0","1","0","20201023","20201031"
"T2#16","0","0","0","0","0","1","0","20201205","20201208"
"T2#17","0","0","0","0","0","1","0","20200904","20201212"
"T2#18","0","0","0","0","0","1","0","20201024","20201101"
