service_id,date,exception_type
"T0","20191225","2"
"T0","20191226","2"
"T0","20200101","2"
"T0","20200106","2"
"T0","20200413","2"
"T0","20200501","2"
"T0","20200521","2"
"T0","20200601","2"
"T0","20200611","2"
"T0","20201026","2"
"T0","20201208","2"
"T0#10","20191225","2"
"T0#10","20191226","2"
"T0#10","20200101","2"
"T0#10","20200106","2"
"T0#10","20200413","2"
"T0#10","20200501","2"
"T0#10","20200521","2"
"T0#10","20200601","2"
"T0#10","20200611","2"
"T0#10","20201026","2"
"T0#10","20201102","2"
"T0#10","20201103","2"
"T0#10","20201104","2"
"T0#10","20201105","2"
"T0#10","20201106","2"
"T0#10","20201109","2"
"T0#10","20201110","2"
"T0#10","20201111","2"
"T0#10","20201112","2"
"T0#10","20201113","2"
"T0#10","20201116","2"
"T0#10","20201117","2"
"T0#10","20201118","2"
"T0#10","20201119","2"
"T0#10","20201120","2"
"T0#10","20201123","2"
"T0#10","20201124","2"
"T0#10","20201125","2"
"T0#10","20201126","2"
"T0#10","20201127","2"
"T0#10","20201130","2"
"T0#10","20201201","2"
"T0#10","20201202","2"
"T0#10","20201203","2"
"T0#10","20201204","2"
"T0#10","20201207","2"
"T0#10","20201208","2"
"T0#10","20201209","2"
"T0#10","20201210","2"
"T0#10","20201211","2"
"T0#11","20201208","2"
"T0#13","20200601","2"
"T0#13","20200611","2"
"T0#14","20191225","2"
"T0#14","20191226","2"
"T0#14","20200101","2"
"T0#14","20200106","2"
"T0#14","20200413","2"
"T0#14","20200501","2"
"T0#14","20200521","2"
"T0#14","20200601","2"
"T0#14","20200611","2"
"T0#14","20201026","2"
"T0#14","20201208","2"
"T0#15","20191225","2"
"T0#15","20191226","2"
"T0#15","20200101","2"
"T0#15","20200106","2"
"T0#16","20200611","2"
"T0#16","20201026","2"
"T0#16","20201208","2"
"T0#17","20200611","2"
"T0#17","20201026","2"
"T0#17","20201208","2"
"T0#18","20201026","2"
"T0#18","20201208","2"
"T0#19","20191225","2"
"T0#19","20191226","2"
"T0#19","20200101","2"
"T0#19","20200106","2"
"T0#19","20200413","2"
"T0#19","20200501","2"
"T0#19","20200521","2"
"T0#19","20200601","2"
"T0#19","20200611","2"
"T0#20","20201026","2"
"T0#21","20201208","2"
"T0#22","20201026","2"
"T0#22","20201102","2"
"T0#22","20201103","2"
"T0#22","20201104","2"
"T0#22","20201105","2"
"T0#22","20201106","2"
"T0#22","20201109","2"
"T0#22","20201110","2"
"T0#22","20201111","2"
"T0#22","20201112","2"
"T0#22","20201113","2"
"T0#22","20201116","2"
"T0#22","20201117","2"
"T0#22","20201118","2"
"T0#22","20201119","2"
"T0#22","20201120","2"
"T0#22","20201123","2"
"T0#22","20201124","2"
"T0#22","20201125","2"
"T0#22","20201126","2"
"T0#22","20201127","2"
"T0#22","20201130","2"
"T0#22","20201201","2"
"T0#22","20201202","2"
"T0#22","20201203","2"
"T0#22","20201204","2"
"T0#22","20201207","2"
"T0#22","20201208","2"
"T0#22","20201209","2"
"T0#22","20201210","2"
"T0#22","20201211","2"
"T0#5","20201026","2"
"T0#5","20201208","2"
"T0#6","20200601","2"
"T0#6","20200611","2"
"T0#7","20201026","2"
"T0#7","20201208","2"
"T0#8","20191225","2"
"T0#8","20191226","2"
"T0#8","20200101","2"
"T0#8","20200106","2"
"T0#8","20200413","2"
"T0#8","20200501","2"
"T0#8","20200521","2"
"T0#8","20200601","2"
"T0#8","20200611","2"
"T0#9","20201026","2"
"T0#9","20201208","2"
"T0+31","20191225","2"
"T0+31","20191226","2"
"T0+31","20200101","2"
"T0+31","20200106","2"
"T0+31","20200413","2"
"T0+31","20200521","2"
"T0+31","20200601","2"
"T0+31","20200611","2"
"T0+31","20201026","2"
"T0+31","20201208","2"
"T0+32","20200501","2"
"T0+eh003","20191225","2"
"T0+eh003","20191226","2"
"T0+eh003","20200101","2"
"T0+eh003","20200106","2"
"T0+eh003","20200124","2"
"T0+eh003","20200413","2"
"T0+eh003","20200501","2"
"T0+eh003","20200521","2"
"T0+eh003","20200601","2"
"T0+eh003","20200611","2"
"T0+eh003","20201026","2"
"T0+eh003","20201208","2"
"T0+eh126","20191225","2"
"T0+eh126","20191226","2"
"T0+eh126","20200101","2"
"T0+eh126","20200106","2"
"T0+eh126","20200413","2"
"T0+eh126","20200501","2"
"T0+eh126","20200521","2"
"T0+eh126","20200601","2"
"T0+eh126","20200611","2"
"T0+eh126","20200706","2"
"T0+eh126","20200707","2"
"T0+eh126","20200708","2"
"T0+eh126","20200709","2"
"T0+eh126","20200710","2"
"T0+eh126","20200713","2"
"T0+eh126","20200714","2"
"T0+eh126","20200715","2"
"T0+eh126","20200716","2"
"T0+eh126","20200717","2"
"T0+eh126","20200720","2"
"T0+eh126","20200721","2"
"T0+eh126","20200722","2"
"T0+eh126","20200723","2"
"T0+eh126","20200724","2"
"T0+eh126","20200727","2"
"T0+eh126","20200728","2"
"T0+eh126","20200729","2"
"T0+eh126","20200730","2"
"T0+eh126","20200731","2"
"T0+eh126","20200803","2"
"T0+eh126","20200804","2"
"T0+eh126","20200805","2"
"T0+eh126","20200806","2"
"T0+eh126","20200807","2"
"T0+eh126","20200810","2"
"T0+eh126","20200811","2"
"T0+eh126","20200812","2"
"T0+eh126","20200813","2"
"T0+eh126","20200814","2"
"T0+eh126","20200817","2"
"T0+eh126","20200818","2"
"T0+eh126","20200819","2"
"T0+eh126","20200820","2"
"T0+eh126","20200821","2"
"T0+eh126","20200824","2"
"T0+eh126","20200825","2"
"T0+eh126","20200826","2"
"T0+eh126","20200827","2"
"T0+eh126","20200828","2"
"T0+eh126","20200831","2"
"T0+eh126","20200901","2"
"T0+eh126","20200902","2"
"T0+eh126","20200903","2"
"T0+eh126","20200904","2"
"T0+eh126","20201026","2"
"T0+eh126","20201208","2"
"T0+mar29","20200803","2"
"T0+mar29","20200804","2"
"T0+mar29","20200805","2"
"T0+mar29","20200806","2"
"T0+mar29","20200807","2"
"T0+mar29","20200810","2"
"T0+mar29","20200811","2"
"T0+mar29","20200812","2"
"T0+mar29","20200813","2"
"T0+mar29","20200814","2"
"T0+mar29","20200817","2"
"T0+mar29","20200818","2"
"T0+mar29","20200819","2"
"T0+mar29","20200820","2"
"T0+mar29","20200821","2"
"T0+mar29","20201026","2"
"T0+mar29","20201208","2"
"T2","20200815","2"
"T2#10","20200815","2"
