route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"11-WLB-j20-1","03","WLB","Wien Oper - Wiener Neudorf - Guntramsdorf - Traiskirchen - Baden","0","0A295D","FFFFFF"
"21-U1-j20-1","04","U1","Oberlaa - Leopldau gültig ab 16.5.2020","1","E3000F","FFFFFF"
"21-U2-j20-1","04","U2","Seestadt - Karlsplatz gültig ab 07.09.2020","1","A862A4","FFFFFF"
"21-U3-j20-1","04","U3","Ottakring - Simmering gültig ab 07.09.2020","1","EF7C00","FFFFFF"
"21-U4-j20-1","04","U4","Hütteldorf - Heiligenstadt nicht gültig vom 12.09. bis 13.09.2020","1","319F49","FFFFFF"
"21-U4-j20-2","04","U4","Hütteldorf - Karlsplatz / Landstraße - Heiligenstadt gültig vom 17.10. bis 18.10.2020","1","319F49","FFFFFF"
"21-U6-j20-1","04","U6","Siebenhirten - Floridsdorf gültig bis 27.09.2020","1","9D6830","FFFFFF"
"21-U6-j20-2","04","U6","Siebenhirten - Floridsdorf gültig ab 28.9.2020","1","9D6830","FFFFFF"
"22-10-j20-1","04","10","Dornbach - Unter St. Veit, Hummelgasse gültig ab 16.11.2020","0","C00808","FFFFFF"
"22-10-j20-2","04","10","Dornbach - Joachimsthalerplatz / Winkelmannstraße - Unter St. Veit, Hummelgasse gültig vom 24.10. bis 15.11.2020","0","C00808","FFFFFF"
"22-11-j20-1","04","11","Otto-Probst-Platz - Kaiserebersdorf gültig ab 04.09.2020","0","C00808","FFFFFF"
"22-11-j20-2","04","11","Kaiserebersdorf - Otto-Probst-Platz gültig vom 23.10. bis 31.10.2020","0","C00808","FFFFFF"
"22-11-j20-3","04","11","Otto-Probst-Platz - Kaiserebersdorf, Zinnerg. gültig am 01.11.2020","0","C00808","FFFFFF"
"22-11-j20-4","04","11","Otto-Probst-Platz - Kaiserebersdorf, Zinnerg. gültig vom 05.12. bis 08.12.2020","0","C00808","FFFFFF"
"22-18-j20-1","04","18","Burggasse-Stadthalle - Schlachthausgasse","0","C00808","FFFFFF"
"22-1-j20-1","04","1","Prater Hauptallee - Stefan-Fadinger-Platz gültig ab 07.09.2020","0","C00808","FFFFFF"
"22-25-j20-1","04","25","Aspern, Oberdorfstraße - Floridsdorf","0","C00808","FFFFFF"
"22-26-j20-1","04","26","Hausfeldstraße - Strebersdorf","0","C00808","FFFFFF"
"22-2-j20-1","04","2","Dornbach - Friedrich-Engels-Platz","0","C00808","FFFFFF"
"22-2-j20-2","04","2","Friedrich-Engels-Platz - Dornbach gültig vom 17. bis 18.10.2020","0","C00808","FFFFFF"
"22-30-j20-1","04","30","Floridsdorf - Stammersdorf","0","C00808","FFFFFF"
"22-31-j20-1","04","31","Schottenring - Stammersdorf","0","C00808","FFFFFF"
"22-33-j20-1","04","33","(Josefstädter Straße -) Augasse - Friedrich-Engels-Platz","0","C00808","FFFFFF"
"22-37-j20-1","04","37","Schottentor - Hohe Warte","0","C00808","FFFFFF"
"22-38-j20-1","04","38","Schottentor - Grinzing","0","C00808","FFFFFF"
"22-40-j20-1","04","40","Schottentor - Gersthof, Herbeckstraße","0","C00808","FFFFFF"
