LineID;PatternID;StopSeqCount;StopID
101;1;0;168
101;1;1;169
101;1;2;170
101;1;4;171
101;1;5;172
101;1;6;173
101;1;8;174
101;1;9;41
101;1;11;42
101;1;12;43
101;1;13;44
101;1;14;45
101;1;16;46
101;1;18;47
101;1;19;48
101;1;20;49
101;1;21;50
101;1;22;51
101;1;24;1709
101;1;25;1711
101;1;26;1712
101;1;28;1713
101;1;29;1714
101;1;31;1715
101;1;33;851
101;1;35;401
101;1;36;1875
101;1;37;1876
101;1;38;1877
101;1;39;1878
101;1;40;1880
101;2;0;1880
101;2;2;1881
101;2;3;1882
101;2;4;1883
101;2;6;1884
101;2;8;426
101;2;10;831
101;2;11;1751
101;2;12;1752
101;2;13;1753
101;2;14;1754
101;2;16;4843
101;2;17;1756
101;2;18;13
101;2;20;14
101;2;21;15
101;2;23;16
101;2;24;17
101;2;25;18
101;2;26;19
101;2;28;20
101;2;29;21
101;2;30;22
101;2;31;23
101;2;32;132
101;2;33;164
101;2;34;165
101;2;35;166
101;2;36;167
101;2;37;168
101;3;0;1880
101;3;2;1881
101;3;3;1882
101;3;4;1883
101;3;6;1884
101;3;7;407
101;3;8;402
101;3;10;403
101;3;11;2243
101;4;0;1880
101;4;2;1881
101;4;3;1882
101;4;4;1883
101;4;6;1884
101;4;8;426
101;4;10;831
101;4;11;832
101;4;12;833
101;4;14;109
101;4;15;7526
101;5;0;1880
101;5;2;1881
101;5;3;1882
101;5;4;1883
101;5;6;1884
101;5;8;426
101;5;10;831
101;5;11;1751
101;5;12;1752
101;5;13;1753
101;5;14;1754
101;5;16;4843
101;5;17;1756
101;5;18;1710
101;6;0;1880
101;6;2;1881
101;6;3;1882
101;6;4;1883
101;6;6;1884
101;6;8;426
101;6;10;831
101;6;11;1751
101;6;12;1752
101;6;13;1753
101;6;14;1754
101;6;16;4843
101;6;17;1756
101;6;18;13
101;6;20;14
101;6;21;33
101;6;22;1375
101;7;0;1880
101;7;2;1881
101;7;3;1882
101;7;4;1883
101;7;6;1884
101;7;8;426
101;7;10;831
101;7;11;1751
101;7;12;1752
101;7;13;1753
101;7;14;1754
101;7;16;4843
101;7;17;1756
101;7;18;13
101;7;20;14
101;7;21;15
101;7;23;16
101;7;24;17
101;7;25;18
101;7;26;19
101;7;27;5
101;7;28;1270
101;8;0;1880
101;8;2;1881
101;8;3;1882
101;8;4;1883
101;8;6;1884
101;8;8;426
101;8;10;831
101;8;11;1751
101;8;12;1752
101;8;13;1753
101;8;14;1754
101;8;16;4843
101;8;17;1756
101;8;18;13
101;8;20;14
101;8;21;15
101;8;23;16
101;8;24;17
101;8;25;18
101;8;26;19
101;8;28;20
101;8;29;21
101;8;30;22
101;8;31;23
101;8;32;132
101;8;33;4730
101;9;0;1880
101;9;2;1881
101;9;3;1882
101;9;4;1883
101;9;6;1884
101;9;8;426
101;9;10;831
101;9;11;1751
101;9;12;1752
101;9;13;1753
101;9;14;1754
101;9;16;4843
101;9;17;1756
101;9;18;13
101;9;20;14
101;9;21;15
101;9;23;16
101;9;24;17
101;9;25;18
101;9;26;19
101;9;28;20
101;9;29;21
101;9;30;22
101;9;31;23
101;9;32;132
101;9;33;164
101;9;34;310
101;9;36;311
101;10;0;1880
101;10;2;1881
101;10;3;1882
101;10;4;1883
101;10;6;1884
101;10;8;426
101;10;10;831
101;10;11;832
101;10;12;833
101;10;14;109
101;10;15;7526
101;10;17;111
101;10;19;112
101;10;20;113
101;10;21;114
101;10;22;81
101;10;23;13
101;10;25;14
101;10;26;15
101;10;28;16
101;10;29;17
101;10;30;18
101;10;31;19
101;10;33;20
101;10;34;21
101;10;35;22
101;10;36;23
101;10;37;132
101;10;38;164
101;10;39;165
101;10;40;166
101;10;41;167
101;10;42;168
101;11;0;1880
101;11;2;1881
101;11;3;1882
101;11;4;1883
101;11;6;1884
101;11;8;426
101;11;10;831
101;11;11;832
101;11;12;833
101;11;14;109
101;11;15;7526
101;11;17;111
101;11;19;112
101;11;20;113
101;11;21;114
101;11;22;81
101;11;23;52
101;11;25;53
101;11;26;54
101;11;27;55
101;11;28;23
101;11;29;132
101;11;30;164
101;11;31;165
101;11;32;166
101;11;33;167
101;11;34;168
101;12;0;1880
101;12;2;1881
101;12;3;1882
101;12;4;1883
101;12;6;1884
101;12;7;407
101;12;8;402
101;12;9;3712
101;12;11;6409
101;13;0;1880
101;13;2;1881
101;13;3;1882
101;13;4;1883
101;13;6;1884
101;13;8;426
101;13;9;427
101;13;11;1716
101;13;13;1717
101;13;14;1718
101;13;15;4727
101;13;16;471
101;14;0;168
101;14;1;169
101;14;2;170
101;14;4;171
101;14;5;172
101;14;6;173
101;14;8;174
101;14;9;41
101;14;11;42
101;14;12;43
101;14;13;44
101;14;14;3700
101;14;15;5
101;14;16;1270
101;15;0;168
101;15;1;169
101;15;2;170
101;15;4;171
101;15;5;172
101;15;6;173
101;15;8;174
101;15;9;41
101;15;11;42
101;15;12;43
101;15;13;44
101;15;14;45
101;15;16;3701
101;16;0;168
101;16;1;169
101;16;2;170
101;16;4;171
101;16;5;172
101;16;6;173
101;16;8;174
101;16;9;41
101;16;11;42
101;16;12;43
101;16;13;44
101;16;14;45
101;16;16;46
101;16;18;47
101;16;19;48
101;16;20;3730
101;17;0;168
101;17;1;169
101;17;2;170
101;17;4;171
101;17;5;172
101;17;6;173
101;17;8;174
101;17;9;41
101;17;11;42
101;17;12;43
101;17;13;44
101;17;14;45
101;17;16;46
101;17;18;47
101;17;19;48
101;17;20;49
101;17;21;50
101;17;22;51
101;17;23;31
101;18;0;168
101;18;1;169
101;18;2;170
101;18;4;171
101;18;5;172
101;18;6;173
101;18;8;174
101;18;9;41
101;18;11;42
101;18;12;43
101;18;13;44
101;18;14;45
101;18;16;46
101;18;18;47
101;18;19;48
101;18;20;49
101;18;21;50
101;18;22;51
101;18;24;1709
101;18;25;1711
101;18;26;1712
101;18;28;1713
101;18;29;1714
101;18;31;1715
101;18;33;851
101;18;34;427
101;18;36;1716
101;18;38;1717
101;18;39;1718
101;18;40;4727
101;18;41;471
101;19;0;168
101;19;1;169
101;19;2;170
101;19;4;171
101;19;5;172
101;19;6;173
101;19;8;174
101;19;9;41
101;19;11;42
101;19;12;43
101;19;13;44
101;19;14;45
101;19;16;46
101;19;18;47
101;19;19;48
101;19;20;49
101;19;21;50
101;19;22;51
101;19;24;1709
101;19;25;1711
101;19;26;1712
101;19;28;1713
101;19;29;1714
101;19;31;1715
101;19;33;851
101;19;35;401
101;19;36;407
101;19;37;402
101;19;39;403
101;19;40;2243
101;20;0;168
101;20;1;169
101;20;2;170
