StopID;DIVA;StopText;Municipality;MunicipalityID;Longitude;Latitude
3;;Messe Prater;Wien;90001;16.4066719;48.2179891
5;60200195;Börse;Wien;90001;16.3646213;48.2159872
7;60201848;Praterstern, Lassallestraße;Wien;90001;16.3947175;48.2200786
8;60201349;Hauptbahnhof S U;Wien;90001;16.3755536;48.1860744
9;60200619;Julius-Raab-Platz;Wien;90001;16.3825366;48.2103072
10;60200245;Stubentor U, Dr.-Karl-Lueger-Platz;Wien;90001;16.3799838;48.2067758
11;60201460;Weihburggasse;Wien;90001;16.3777463;48.2045888
12;60201193;Schwarzenbergplatz;Wien;90001;16.3745994;48.2017869
13;60200975;Oper, Karlsplatz U;Wien;90001;16.3698872;48.2023388
14;60200190;Burgring;Wien;90001;16.3639775;48.2038658
15;60200246;Ring, Volkstheater U;Wien;90001;16.3598497;48.2069311
16;60200994;Parlament;Wien;90001;16.3601294;48.2084247
17;60200192;Rathausplatz, Burgtheater;Wien;90001;16.3607361;48.2104744
18;60201184;Schottentor U;Wien;90001;16.3623955;48.2138480
19;60200195;Börse;Wien;90001;16.3665547;48.2157594
20;60201182;Schottenring U;Wien;90001;16.3712608;48.2165700
21;60201145;Salztorbrücke;Wien;90001;16.3738566;48.2140466
22;60201198;Schwedenplatz U;Wien;90001;16.3780233;48.2115755
23;60200619;Julius-Raab-Platz;Wien;90001;16.3834366;48.2112036
26;;Praterstern S U;Wien;90001;;
27;60201421;Venediger Au;Wien;90001;16.3967300;48.2178736
28;60201009;Perspektivstraße;Wien;90001;16.4008075;48.2178500
29;;Messe Prater;Wien;90001;16.4066669;48.2178338
30;60200274;Elderschplatz;Wien;90001;16.4120199;48.2177166
31;;Bösendorferstraße, Karlsplatz U;Wien;90001;16.3708161;48.2012519
33;60200246;Ring, Volkstheater U;Wien;90001;16.3606100;48.2063680
36;60201468;Westbahnhof S U;Wien;90001;16.3391080;48.1963919
37;60201575;Schemmerlstraße;Wien;90001;16.4235850;48.1570119
39;60201349;Hauptbahnhof S U;Wien;90001;16.3748730;48.1858263
