DIVA;PlatformText;Municipality;MunicipalityID;Longitude;Latitude
60200001;Schrankenberggasse;Wien;90001;16.389807;48.173801
60200002;Achengasse;Wien;90001;16.448898;48.284526
60200003;Ada-Christen-Gasse;Wien;90001;16.385954;48.152866
60200004;Adam-Betz-Gasse;Wien;90001;16.535191;48.215611
60200005;Adamovichgasse;Wien;90001;16.33784;48.142167
60200006;Adolf-Loos-Gasse;Wien;90001;16.454225;48.277555
60200007;Adolf-Unger-Gasse;Wien;90001;16.385882;48.148676
60200008;Afritschgasse;Wien;90001;16.451737;48.24696
60200009;Agavenweg;Wien;90001;16.507199;48.25107
60200010;Neustift, Agnesgasse;Wien;90001;16.307593;48.25043
60200011;Aignerstraße;Wien;90001;16.374949;48.246284
60200012;Auf der Schmelz;Wien;90001;16.316648;48.203524
60200013;Morzinplatz;Wien;90001;16.374491;48.213114
60200014;Alaudagasse;Wien;90001;16.382324;48.15389
60200015;Albern;Wien;90001;16.48493;48.160051
60200016;Alberner Hafen;Wien;90001;16.494632;48.158493
60200017;Alberner Hafenzufahrtsstr;Wien;90001;16.472479;48.172094
60200018;Alberner Straße;Wien;90001;16.484562;48.15618
60200019;Albertgasse;Wien;90001;16.344038;48.210606
60200020;Albertinaplatz;Wien;90001;16.368535;48.204961
60200021;Carminweg;Wien;90001;16.42106;48.253181
60200022;Algenweg;Wien;90001;16.531481;48.248797
60200023;Allerheiligengasse;Wien;90001;16.387166;48.238082
60200024;Allissen;Wien;90001;16.430169;48.286349
60200025;Alois-Behr-Straße;Wien;90001;16.241055;48.205607
60200026;Alsegger Straße;Wien;90001;16.324365;48.231686
60200027;Alser Straße;Wien;90001;16.341999;48.217143
60200028;Aichholzgasse;Wien;90001;16.324347;48.180324
60200029;Nußdf. Str./Alserbachstr.;Wien;90001;16.354315;48.224648
60200030;Altdorferstraße;Wien;90001;16.349374;48.168697
60200031;Alte Donau;Wien;90001;16.424231;48.237956
60200032;Aichholzg./Ratschkyg.;Wien;90001;16.32361;48.177599
60200033;Altes Landgut;Wien;90001;16.383384;48.162106
60200034;Althanstraße;Wien;90001;16.359552;48.228837
60200035;Breitenf St/Altmannsd Str;Wien;90001;16.316613;48.165599
60200036;Pfeiffenbergergasse;Wien;90001;16.261007;48.194662
60200037;Am Fasangarten;Wien;90001;16.304593;48.171255
60200038;Zanggasse;Wien;90001;16.484445;48.2388
60200039;Am Heidjöchl;Wien;90001;16.488721;48.236808
60200040;Am Himmelreich;Wien;90001;16.438173;48.16391
60200041;Am Hundsturm;Wien;90001;16.34817;48.187679
60200042;Am Kanal;Wien;90001;16.4101;48.170021
60200043;Am Kanal/Hasenleitengasse;Wien;90001;16.418428;48.163676
60200044;Am Modenapark;Wien;90001;16.382621;48.199099
60200045;Am Platz;Wien;90001;16.301485;48.186056
60200046;Am Rosenhügel;Wien;90001;16.290894;48.161878
60200047;Reichsbrücke;Wien;90001;16.412418;48.229837
60200048;Am Schöpfwerk;Wien;90001;16.324608;48.161231
60200049;Am Spiegeln;Wien;90001;16.282198;48.152278
60200050;Am Spitz;Wien;90001;16.39738;48.258205
60200051;Am Tabor;Wien;90001;16.383474;48.225103
60200052;Fünfhausgasse;Wien;90001;16.335441;48.189087
60200053;Gesundheitszentrum Süd;Wien;90001;16.345134;48.169907
60200054;Ameisbachzeile;Wien;90001;16.292259;48.201135
60200055;Ameisgasse;Wien;90001;16.299518;48.193854
60200056;Neubaugasse;Wien;90001;16.350201;48.198291
60200057;Ammerweg;Wien;90001;16.260432;48.218514
60200058;Amongasse;Wien;90001;16.469452;48.230184
60200059;An den Steinfeldern;Wien;90001;16.298116;48.137311
60200060;An den alten Schanzen;Wien;90001;16.489844;48.226384
60200061;An den langen Lüssen;Wien;90001;16.341909;48.252655
60200062;An der Bien;Wien;90001;16.479495;48.207134
60200063;An der Niederhaid;Wien;90001;16.269738;48.204135
60200065;Liebhartstal;Wien;90001;16.291909;48.215748
60200066;Angermayergasse;Wien;90001;16.264923;48.184391
60200067;Anschützgasse;Wien;90001;16.323053;48.190374
60200068;Anton-Bosch-Gasse;Wien;90001;16.387517;48.269442
60200069;Anton-Böck-Gasse;Wien;90001;16.38978;48.296402
60200070;Anton-Krieger-Gasse;Wien;90001;16.270385;48.14282
60200071;Doningasse;Wien;90001;16.441056;48.25162
60200072;Anton-Störck-Gasse;Wien;90001;16.386088;48.264867
60200073;Antonigasse;Wien;90001;16.329782;48.225953
60200074;Anzengruberstraße;Wien;90001;16.223951;48.213958
60200075;Apostelgasse;Wien;90001;16.398135;48.200488
60200076;Liesing Aquädukt;Wien;90001;16.27202;48.13372
60200077;Arbeitergasse/Gürtel;Wien;90001;16.345961;48.184056
60200078;Arbeiterinnenstrandbad;Wien;90001;16.414017;48.243257
60200079;Argentinierstraße;Wien;90001;16.376737;48.188548
60200080;Armbrustergasse;Wien;90001;16.35489;48.253857
60200081;Arminenstraße;Wien;90001;16.437589;48.236281
60200082;Arndtstraße;Wien;90001;16.33695;48.183649
60200083;Breitenleer St./Arnikaweg;Wien;90001;16.480106;48.251476
60200084;Arsenal;Wien;90001;16.384624;48.183804
60200085;Artariastraße;Wien;90001;16.281345;48.242444
60200086;Arthaberplatz;Wien;90001;16.372164;48.172495
60200087;Artillerieplatz;Wien;90001;16.472722;48.163946
60200088;Aspernallee;Wien;90001;16.445143;48.197045
60200089;Asperner Heldenplatz;Wien;90001;16.483178;48.216832
60200090;Frederick-Loewe-Weg;Wien;90001;16.481633;48.238046
60200092;Atzgersdorf Friedhof;Wien;90001;16.297946;48.14303
60200093;Atzgersdorf Kirchenplatz;Wien;90001;16.294271;48.147615
60200094;Atzgersdorf;Wien;90001;16.288747;48.147262
60200095;An der Liesing;Wien;90001;16.264097;48.138948
60200096;Atzgersdorfer Straße;Wien;90001;16.296365;48.170512
60200098;Auernheimergasse;Wien;90001;16.518114;48.203147
60200099;Augasse;Wien;90001;16.357441;48.229711
60200100;Broßmannplatz;Wien;90001;16.398611;48.251847
60200101;Aumannplatz;Wien;90001;16.336564;48.228161
60200102;Autokaderstraße;Wien;90001;16.388011;48.277448
60200103;Aßmayergasse;Wien;90001;16.337714;48.178725
60200104;Bacherplatz;Wien;90001;16.356857;48.188242
60200105;Badeteich Süßenbrunn;Wien;90001;16.486448;48.277334
60200106;Badgasse;Wien;90001;16.223996;48.209014
60200107;Rettichgasse;Wien;90001;16.262381;48.201548
60200108;Duchekgasse;Wien;90001;16.517458;48.208553
60200109;Barawitzkagasse;Wien;90001;16.35568;48.244621
60200110;Barichgasse;Wien;90001;16.395026;48.198045
60200111;Morelligasse;Wien;90001;16.404135;48.25043
60200112;Bauernfeldplatz;Wien;90001;16.36072;48.220878
60200113;Linzer Str./Hochsatzeng.;Wien;90001;16.277105;48.196854
60200114;Baumgartner Friedhof;Wien;90001;16.279;48.201554
60200115;Baumgasse;Wien;90001;16.404755;48.193291
60200116;Nußdorf, Beethovengang;Wien;90001;16.363055;48.259545
60200117;Belgradplatz;Wien;90001;16.360738;48.17428
60200118;Bellevuestraße;Wien;90001;16.328524;48.248671
60200119;Jedlesee, Bellgasse;Wien;90001;16.387166;48.262248
60200120;Belvederegasse;Wien;90001;16.371958;48.190147
60200121;Benatzkygasse;Wien;90001;16.439574;48.23019
60200122;Berggasse;Wien;90001;16.361735;48.218065
60200123;Bergmillergasse;Wien;90001;16.256776;48.201374
60200124;Yppengasse;Wien;90001;16.335666;48.214713
60200125;Theodor-Körner-Gasse;Wien;90001;16.407657;48.249718
60200127;Fernkorngasse;Wien;90001;16.363334;48.174077
60200128;Bernreiterplatz;Wien;90001;16.406345;48.281405
60200129;Mühlschüttel;Wien;90001;16.410792;48.249251
60200130;Berzeliusgasse;Wien;90001;16.410495;48.275654
60200131;Beschußamt;Wien;90001;16.433995;48.177383
60200132;Anton-Schall-Gasse;Wien;90001;16.415849;48.28932
60200133;Bettelheimstraße;Wien;90001;16.492494;48.278996
60200134;Bezirksamt Donaustadt;Wien;90001;16.436439;48.240356
60200135;Döbl. Hptstr./Gatterburgg;Wien;90001;16.354602;48.238914
60200136;Laxenburger Str/Gudrunstr;Wien;90001;16.373754;48.17836
60200137;Bezirksamt Margareten;Wien;90001;16.354998;48.190674
